"filename", "language", "Makefile", "C++", "C", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/ArchaOS.code-workspace", "JSON with Comments", 0, 0, 0, 0, -8, 0, 0, -8
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/Makefile", "Makefile", -14, 0, 0, 0, 0, 0, -6, -20
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/README.md", "Markdown", 0, 0, 0, -94, 0, 0, -35, -129
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette.h", "C++", 0, -53, 0, 0, 0, 0, -40, -93
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fonts/cozette_fnt.h", "C++", 0, -732, 0, 0, 0, 0, 0, -732
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/fromboot.h", "C++", 0, -21, 0, 0, 0, 0, -10, -31
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/common/logo.h", "C++", 0, -648, 0, 0, 0, 0, -1, -649
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/Makefile", "Makefile", -26, 0, 0, 0, 0, 0, -14, -40
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt.c", "C", 0, 0, -47, 0, 0, 0, -14, -61
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/gdt.h", "C++", 0, -49, 0, 0, 0, -16, -13, -78
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt.c", "C", 0, 0, -33, 0, 0, 0, -20, -53
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/idt.h", "C++", 0, -22, 0, 0, 0, 0, -10, -32
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/arch/x86_64/io.h", "C++", 0, -134, 0, 0, 0, -2, -9, -145
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/config.h", "C++", 0, -5, 0, 0, 0, -25, -4, -34
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/exception.c", "C", 0, 0, -19, 0, 0, -32, -4, -55
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/kernel_panic.c", "C", 0, 0, -10, 0, 0, -1, -5, -16
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/errs/pnc.h", "C++", 0, -8, 0, 0, 0, 0, -4, -12
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.c", "C", 0, 0, -18, 0, 0, 0, -6, -24
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/graphics/graphics.h", "C++", 0, -16, 0, 0, 0, 0, -5, -21
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/kcode/x86_64.h", "C++", 0, -31, 0, 0, 0, -3, -13, -47
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdbool.h", "C++", 0, -9, 0, 0, 0, 0, -5, -14
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdint.h", "C++", 0, -4, 0, 0, 0, -78, -4, -86
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.c", "C", 0, 0, -281, 0, 0, -37, -45, -363
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/stdio.h", "C++", 0, -26, 0, 0, 0, -3, -6, -35
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.c", "C", 0, 0, -69, 0, 0, -11, -24, -104
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/string.h", "C++", 0, -12, 0, 0, 0, -11, -4, -27
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/lib/uchar.h", "C++", 0, -12, 0, 0, 0, 0, -5, -17
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.c", "C", 0, 0, -126, 0, 0, -41, -25, -192
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/pmm.h", "C++", 0, -23, 0, 0, 0, 0, -7, -30
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.c", "C", 0, 0, -1, 0, 0, 0, -2, -3
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/mem/vmm.h", "C++", 0, -3, 0, 0, 0, 0, -3, -6
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/simple.c", "C", 0, 0, -97, 0, 0, -24, -30, -151
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.c", "C", 0, 0, -98, 0, 0, -11, -23, -132
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/cnsl_read.h", "C++", 0, -7, 0, 0, 0, -1, -3, -11
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.c", "C", 0, 0, -41, 0, 0, -4, -8, -53
"/home/theblackdev/Documents/OS/anothertry/ArchaOS/kernel/temp/command.h", "C++", 0, -8, 0, 0, 0, 0, -5, -13
"Total", "-", -40, -1823, -840, -94, -8, -300, -412, -3517
